SRR1930034	SRR1930035	SRR1930036	SRR1930037	SRR1930038	SRR1930039
ENSMUSG00000055609	0	0	0	0	0	0
ENSMUSG00000069919	96	176	89	67	96	86
ENSMUSG00000073063	1	1	1	4	2	1
ENSMUSG00000069917	37	85	36	55	58	44
ENSMUSG00000020295	6	4	8	3	6	1
ENSMUSG00000040711	354	369	366	415	438	371
ENSMUSG00000044949	205	201	202	208	218	207
ENSMUSG00000044056	11	23	11	14	7	19
ENSMUSG00000020272	125	137	140	134	116	125
ENSMUSG00000020271	1832	1773	1938	2222	1791	1844
ENSMUSG00000098054	0	0	0	0	0	0
ENSMUSG00000085676	0	0	0	0	0	0
ENSMUSG00000020270	0	0	0	0	0	0
ENSMUSG00000083303	0	0	0	0	0	0
ENSMUSG00000085402	0	0	0	0	0	0
ENSMUSG00000081254	6	2	7	11	4	11
ENSMUSG00000077836	0	0	0	0	0	0
ENSMUSG00000081076	7	3	8	2	5	5
ENSMUSG00000087318	0	0	0	0	0	0
ENSMUSG00000057967	19	26	23	20	13	17
ENSMUSG00000057113	1510	1779	1948	2051	1882	2007
ENSMUSG00000099902	9	4	14	9	2	13
ENSMUSG00000040610	0	0	0	1	0	0
ENSMUSG00000087501	4	8	5	10	11	10
ENSMUSG00000040594	150	135	144	156	132	156
ENSMUSG00000098456	1	0	0	1	2	0
ENSMUSG00000069913	43	48	70	43	54	53
ENSMUSG00000083471	1	1	0	0	1	0
ENSMUSG00000020159	0	0	0	0	0	0
ENSMUSG00000073052	1	1	1	0	1	1
ENSMUSG00000053519	310	340	386	539	367	374
ENSMUSG00000085240	0	1	1	0	2	3
ENSMUSG00000087328	2	1	2	0	0	4
ENSMUSG00000020155	5	3	6	4	7	4
ENSMUSG00000085684	1	0	0	3	0	0
ENSMUSG00000002699	34	22	25	35	21	36
ENSMUSG00000086243	0	0	0	0	0	0
ENSMUSG00000047861	0	1	0	1	2	3
ENSMUSG00000020143	83	89	102	119	105	80
ENSMUSG00000087122	0	0	0	0	0	0
ENSMUSG00000069911	18	23	26	23	15	14
ENSMUSG00000069910	6	9	9	15	14	6
ENSMUSG00000077543	0	0	0	0	0	0
ENSMUSG00000085090	0	0	0	0	0	0
ENSMUSG00000064577	0	0	0	0	0	0
ENSMUSG00000056427	979	1082	1050	1117	1083	977
ENSMUSG00000088125	0	0	0	1	1	1
ENSMUSG00000082309	7	11	19	5	16	11
ENSMUSG00000086311	2	4	2	3	6	4
ENSMUSG00000065583	5	4	2	4	3	2
ENSMUSG00000018846	1934	2296	2282	2361	1960	2221
ENSMUSG00000065553	0	0	0	0	0	3
ENSMUSG00000082688	3	2	1	3	1	3
ENSMUSG00000051062	352	300	347	464	323	347
ENSMUSG00000018848	577	657	676	826	625	661
ENSMUSG00000018849	768	754	718	1013	901	861
ENSMUSG00000081571	0	0	0	0	0	0
ENSMUSG00000049336	7359	7865	7482	8407	7724	7626
ENSMUSG00000087245	7	6	8	5	1	6
ENSMUSG00000086375	9	7	3	5	1	9
ENSMUSG00000065173	9	10	9	8	8	11
ENSMUSG00000087388	0	0	0	1	1	0
ENSMUSG00000093184	0	0	0	0	0	0
ENSMUSG00000082587	1	2	1	2	0	1
ENSMUSG00000087296	0	0	0	0	0	0
ENSMUSG00000070249	0	0	0	0	0	0
ENSMUSG00000083806	0	0	0	0	0	0
ENSMUSG00000088603	0	0	0	0	0	0
ENSMUSG00000085301	0	0	1	0	0	0
ENSMUSG00000082295	0	0	0	0	0	0
ENSMUSG00000080749	0	0	0	0	0	0
ENSMUSG00000085588	0	0	0	0	0	0
ENSMUSG00000081097	0	0	0	0	0	0
ENSMUSG00000082390	0	1	0	1	0	0
ENSMUSG00000080835	0	0	0	0	0	0
ENSMUSG00000082087	11	23	53	19	24	71
ENSMUSG00000042032	1649	1789	1795	2321	2037	2184
ENSMUSG00000020330	9	12	15	27	17	19
ENSMUSG00000020328	165	159	193	188	171	176
ENSMUSG00000020326	2538	2596	2895	3910	3099	3021
ENSMUSG00000065916	0	0	0	0	0	0
ENSMUSG00000084129	2	3	3	2	1	2
ENSMUSG00000086475	0	0	0	0	0	0
ENSMUSG00000081112	0	0	0	0	0	0
ENSMUSG00000058809	122	123	130	131	138	138
ENSMUSG00000081847	0	0	0	0	0	0
ENSMUSG00000087306	127	97	96	140	108	159
ENSMUSG00000084293	0	0	0	0	0	0
ENSMUSG00000020436	3338	3800	3651	4555	3658	3904
ENSMUSG00000010803	12614	13241	13657	16591	13594	13570
ENSMUSG00000020428	0	1	0	0	0	1
ENSMUSG00000007653	3838	4457	4076	4630	3897	4246
ENSMUSG00000084627	0	0	0	0	0	0
ENSMUSG00000055456	0	0	1	1	0	0
ENSMUSG00000085951	0	0	0	0	0	0
ENSMUSG00000055415	44	58	68	47	52	59
ENSMUSG00000085533	0	0	1	0	1	0
ENSMUSG00000086170	1	0	0	0	0	1
ENSMUSG00000086791	0	0	0	0	0	0
ENSMUSG00000065601	0	1	0	0	0	0
ENSMUSG00000084889	0	0	0	0	0	0
ENSMUSG00000020415	314	264	283	381	258	281
ENSMUSG00000020409	1373	1391	1449	1788	1504	1410
ENSMUSG00000084307	0	0	0	0	0	0
ENSMUSG00000046491	11	9	13	15	19	13
ENSMUSG00000044707	25	43	28	45	26	35
ENSMUSG00000085239	0	1	1	2	4	1
ENSMUSG00000045877	8	7	2	7	6	5
ENSMUSG00000020405	0	0	0	1	0	0
ENSMUSG00000082614	0	0	0	0	0	0
ENSMUSG00000083662	1	0	1	0	0	0
ENSMUSG00000044950	662	790	632	704	716	709
ENSMUSG00000041278	655	547	629	852	664	660
ENSMUSG00000050541	173	144	161	258	183	191
ENSMUSG00000087172	0	1	0	1	1	2
ENSMUSG00000086738	0	0	0	0	0	0
ENSMUSG00000082790	1	0	1	0	0	0
ENSMUSG00000004296	0	2	0	0	0	0
ENSMUSG00000041231	849	858	966	1123	798	871
ENSMUSG00000092889	0	6	6	4	1	4
ENSMUSG00000082750	0	0	0	0	0	0
ENSMUSG00000019189	1344	1521	1504	1531	1413	1467
ENSMUSG00000086501	0	0	0	0	1	0
ENSMUSG00000102563	0	0	0	0	0	0
ENSMUSG00000057098	54	47	78	58	78	61
ENSMUSG00000085784	1	1	0	2	3	0
ENSMUSG00000084773	1	0	0	0	0	1
ENSMUSG00000087089	0	0	0	0	0	0
ENSMUSG00000103248	0	0	0	0	0	0
ENSMUSG00000104099	0	0	0	0	0	0
ENSMUSG00000080981	2	1	7	8	6	10
ENSMUSG00000085476	0	0	0	0	0	0
ENSMUSG00000077320	0	0	0	0	0	0
ENSMUSG00000086686	0	0	0	0	0	0
ENSMUSG00000083017	0	0	0	0	0	0
ENSMUSG00000081251	1	2	2	1	1	0
ENSMUSG00000076031	0	0	0	0	0	0
ENSMUSG00000006169	785	868	771	913	817	817
ENSMUSG00000044847	694	518	515	930	643	671
ENSMUSG00000011254	122	111	113	191	112	124
ENSMUSG00000040489	6	1	5	4	1	7
ENSMUSG00000082870	0	1	1	3	2	1
ENSMUSG00000069899	15	20	7	31	22	6
ENSMUSG00000011256	366	380	323	408	371	355
ENSMUSG00000098942	0	0	0	0	0	0
ENSMUSG00000086998	0	0	0	0	0	0
ENSMUSG00000087607	0	0	0	0	0	0
ENSMUSG00000020411	59	32	49	57	28	34
ENSMUSG00000099331	0	0	0	0	0	1
ENSMUSG00000020340	18474	20761	20233	20846	20175	18927
ENSMUSG00000048721	100	110	93	120	129	147
ENSMUSG00000081078	15	15	20	19	11	27
ENSMUSG00000020395	7	3	6	3	7	6
ENSMUSG00000085853	0	0	0	0	0	0
ENSMUSG00000020401	0	0	0	0	0	0
ENSMUSG00000020397	71	100	106	101	78	78
ENSMUSG00000097457	1	4	1	1	1	1
ENSMUSG00000082530	43	46	47	47	49	15
ENSMUSG00000020399	26	40	34	68	51	46
ENSMUSG00000078924	0	0	0	0	0	0
ENSMUSG00000081713	0	0	0	0	0	0
ENSMUSG00000086981	1	2	0	3	0	0
ENSMUSG00000082749	0	0	0	0	0	0
ENSMUSG00000046974	0	3	0	0	1	1
ENSMUSG00000064010	2	1	0	5	1	1
ENSMUSG00000086909	1	0	0	2	0	0
ENSMUSG00000080970	0	0	0	0	0	0
ENSMUSG00000040413	0	0	0	0	0	0
ENSMUSG00000080776	1	1	0	2	1	0
ENSMUSG00000040405	0	0	0	0	0	0
ENSMUSG00000055546	2	2	0	1	1	0
ENSMUSG00000082818	0	0	0	0	0	0
ENSMUSG00000020354	99	108	91	99	102	99
ENSMUSG00000082792	11	8	10	7	10	9
ENSMUSG00000065804	0	0	0	1	0	2
ENSMUSG00000081952	16	19	13	6	14	16
ENSMUSG00000083954	0	0	0	0	0	0
ENSMUSG00000083159	2	7	6	7	5	2
ENSMUSG00000082250	0	0	0	0	0	0
ENSMUSG00000088425	0	0	0	0	0	0
ENSMUSG00000083460	3	5	3	3	2	5
ENSMUSG00000082454	434	539	477	531	437	459
ENSMUSG00000020372	1881	1580	1679	2266	1714	1620
ENSMUSG00000064500	0	0	0	0	0	0
ENSMUSG00000064725	0	0	0	0	0	0
ENSMUSG00000064780	0	0	0	0	0	0
ENSMUSG00000040365	860	769	844	999	884	942
ENSMUSG00000078154	44	3	137	8	5	90
ENSMUSG00000040350	16	29	24	42	27	41
ENSMUSG00000086245	10	6	11	14	16	12
ENSMUSG00000046879	134	125	149	180	124	151
ENSMUSG00000058163	14	10	37	33	10	26
ENSMUSG00000048852	4	3	0	6	2	0
ENSMUSG00000078153	35	31	49	47	38	56
ENSMUSG00000069893	7	3	4	13	7	5
ENSMUSG00000040328	1	0	0	0	1	3
ENSMUSG00000078922	11	8	9	6	8	7
ENSMUSG00000084153	8	11	4	9	8	9
ENSMUSG00000069892	34	11	20	39	30	37
ENSMUSG00000078921	5	8	38	22	6	10
ENSMUSG00000083178	0	0	0	1	0	0
ENSMUSG00000078920	5	5	4	9	6	5
ENSMUSG00000082116	0	0	0	0	0	0
ENSMUSG00000107444	0	0	0	0	0	0
ENSMUSG00000047511	0	0	0	0	0	0
ENSMUSG00000050763	0	0	0	0	0	0
ENSMUSG00000048378	0	0	0	0	0	0
ENSMUSG00000040283	0	1	0	0	0	3
ENSMUSG00000046311	1475	1456	1639	2169	1716	1710
ENSMUSG00000020346	696	617	711	862	705	718
ENSMUSG00000059864	0	1	1	2	0	0
ENSMUSG00000101750	0	0	0	1	0	0
ENSMUSG00000100923	0	0	0	0	1	0
ENSMUSG00000101874	0	0	0	0	0	0
ENSMUSG00000045421	0	0	0	0	0	0
ENSMUSG00000084278	0	0	0	0	0	0
ENSMUSG00000107573	0	0	0	0	0	0
ENSMUSG00000047702	0	0	0	0	0	0
ENSMUSG00000063386	0	0	0	0	0	0
ENSMUSG00000108167	0	0	0	0	0	0
ENSMUSG00000059729	0	0	0	0	0	0
ENSMUSG00000044170	0	0	0	0	0	0
ENSMUSG00000107417	0	0	1	0	0	0
ENSMUSG00000063827	0	0	0	0	0	0
ENSMUSG00000095187	0	0	0	0	0	0
ENSMUSG00000107645	0	0	0	0	0	0
ENSMUSG00000069890	0	0	0	0	0	0
ENSMUSG00000081791	0	0	0	0	0	0
ENSMUSG00000020357	30	26	27	42	40	53
ENSMUSG00000064057	4	1	3	1	5	0
ENSMUSG00000020362	906	1166	901	1098	936	1007
ENSMUSG00000083061	22	1	3	46	8	1
ENSMUSG00000081570	2	6	3	2	2	5
ENSMUSG00000092894	0	0	0	0	0	0
ENSMUSG00000081934	0	0	0	0	0	0
ENSMUSG00000020363	66	82	86	88	90	91
ENSMUSG00000020366	4232	4732	4867	4867	4575	4424
ENSMUSG00000080487	0	0	0	0	1	1
ENSMUSG00000020374	258	291	271	328	284	271
ENSMUSG00000020376	716	790	840	898	718	823
ENSMUSG00000065417	1	6	0	2	1	3
ENSMUSG00000084302	6	15	10	9	13	13
ENSMUSG00000036644	4427	4227	4378	5030	4194	4018
ENSMUSG00000085192	14	8	19	13	19	12
ENSMUSG00000020381	63	39	41	63	28	54
ENSMUSG00000015837	7483	7117	7875	9001	7293	7264
ENSMUSG00000036620	463	401	486	590	514	452
ENSMUSG00000098474	0	0	0	0	0	0
ENSMUSG00000020377	23	12	7	7	13	12
ENSMUSG00000097887	10	13	10	7	15	14
ENSMUSG00000050567	247	261	243	268	254	249
ENSMUSG00000020368	7657	8977	8323	10409	8395	8414
ENSMUSG00000082545	0	0	1	0	1	3
ENSMUSG00000050087	7	3	10	11	1	6
ENSMUSG00000076450	3	0	1	0	0	3
ENSMUSG00000007850	2153	2485	2209	2308	2213	2140
ENSMUSG00000020375	645	828	869	888	872	872
ENSMUSG00000089366	0	0	0	0	0	0
ENSMUSG00000085564	20	13	18	34	30	15
ENSMUSG00000036545	440	224	274	553	382	399
ENSMUSG00000087080	1	1	1	2	5	1
ENSMUSG00000085902	3	4	8	5	4	5
ENSMUSG00000088205	0	0	2	2	0	1
ENSMUSG00000044807	1073	1346	1280	1245	1227	1296
ENSMUSG00000044296	44	39	35	66	43	46
ENSMUSG00000000617	0	0	0	0	0	0
ENSMUSG00000086226	0	0	0	0	0	0
ENSMUSG00000048728	116	137	125	171	136	137
ENSMUSG00000049321	435	448	524	596	507	535
ENSMUSG00000020335	76	106	112	103	98	84
ENSMUSG00000072983	1	0	0	0	0	0
ENSMUSG00000044542	0	0	0	0	0	0
ENSMUSG00000083542	0	0	0	0	0	0
ENSMUSG00000050343	0	0	0	0	0	1
ENSMUSG00000082074	0	0	0	0	0	0
ENSMUSG00000061952	0	0	0	0	0	0
ENSMUSG00000083825	0	0	0	0	0	0
ENSMUSG00000060918	0	0	0	0	0	0
ENSMUSG00000059397	0	0	0	0	0	0
ENSMUSG00000057890	0	0	0	0	0	0
ENSMUSG00000020364	129	206	146	180	222	167
ENSMUSG00000072982	0	1	0	0	0	1
ENSMUSG00000080918	0	0	0	0	0	0
ENSMUSG00000083156	1	2	0	1	4	2
ENSMUSG00000083312	0	0	0	0	0	0
ENSMUSG00000081296	0	0	0	0	0	0
ENSMUSG00000086646	0	0	0	0	0	0
ENSMUSG00000061469	0	0	0	0	0	0
ENSMUSG00000045942	3	1	0	1	2	1
ENSMUSG00000020385	1286	1528	1481	1633	1328	1414
ENSMUSG00000093734	5	6	12	16	5	7
ENSMUSG00000063564	544	424	504	654	557	530
ENSMUSG00000020359	270	316	286	329	325	349
ENSMUSG00000020358	652	689	675	886	707	649
ENSMUSG00000001056	345	335	426	515	439	447
ENSMUSG00000001054	773	677	830	965	822	847
ENSMUSG00000001053	200	243	254	219	245	242
ENSMUSG00000052563	39	48	45	46	44	52
ENSMUSG00000007777	139	132	126	191	94	147
ENSMUSG00000036391	409	481	429	443	491	518
ENSMUSG00000084744	3	0	1	1	1	2
ENSMUSG00000020386	515	544	564	732	541	574
ENSMUSG00000020387	1371	1473	1581	1602	1382	1377
ENSMUSG00000110618	35	34	45	100	65	65
ENSMUSG00000097219	4	9	3	9	5	9
ENSMUSG00000093325	0	0	0	0	0	0
ENSMUSG00000020392	727	627	699	731	661	627
ENSMUSG00000020390	1552	1784	1606	1894	1603	1550
ENSMUSG00000086493	0	0	1	2	0	0
ENSMUSG00000020389	188	177	209	215	169	214
ENSMUSG00000084800	1	2	3	2	1	5
ENSMUSG00000020349	4289	4352	4455	5504	4408	4637
ENSMUSG00000093006	0	0	0	0	0	0
ENSMUSG00000097605	0	0	0	0	0	0
ENSMUSG00000092870	0	0	0	0	0	0
ENSMUSG00000062204	0	0	0	0	0	1
ENSMUSG00000108218	2	2	0	6	6	1
ENSMUSG00000083175	0	0	0	0	0	0
ENSMUSG00000060170	1	0	0	0	0	0
ENSMUSG00000036309	4909	4934	5300	6591	5034	5379
ENSMUSG00000086920	10	21	12	22	17	23
ENSMUSG00000000782	29	23	25	19	30	39
ENSMUSG00000086395	1	3	1	5	2	3
ENSMUSG00000020402	3819	4142	3897	4637	3909	3959
ENSMUSG00000036275	1069	1035	1046	1253	1004	957
ENSMUSG00000080951	0	2	1	1	6	1
ENSMUSG00000081297	1	0	0	0	0	0
ENSMUSG00000083129	0	0	0	0	0	0
ENSMUSG00000036264	610	721	658	595	493	561
ENSMUSG00000087668	3	4	4	2	5	3
ENSMUSG00000058073	0	0	0	0	0	1
ENSMUSG00000020361	4985	5031	5028	6408	4982	5307
ENSMUSG00000018239	14	27	19	13	18	13
ENSMUSG00000082263	0	0	0	0	0	0
ENSMUSG00000049470	4980	6123	5418	6105	5703	5816
ENSMUSG00000064719	0	1	1	2	0	1
ENSMUSG00000105908	0	0	0	3	1	1
ENSMUSG00000036216	7	2	15	8	12	5
ENSMUSG00000044894	535	452	413	546	488	407
ENSMUSG00000018238	8	9	7	13	6	4
ENSMUSG00000072963	2	1	1	0	1	0
ENSMUSG00000018387	114	136	127	162	133	100
ENSMUSG00000085707	3	4	5	3	8	2
ENSMUSG00000049427	2	2	1	0	2	0
ENSMUSG00000044352	1597	1480	1383	1937	1802	1569
ENSMUSG00000054450	16	13	20	19	19	23
ENSMUSG00000085718	3	3	1	4	1	2
ENSMUSG00000018398	8044	7760	8059	9473	8496	8241
ENSMUSG00000086851	22	26	25	25	35	27
ENSMUSG00000018395	2293	2516	2358	2747	2482	2625
ENSMUSG00000000869	95	129	118	147	122	108
ENSMUSG00000020383	0	0	0	0	3	0
ENSMUSG00000084373	2	0	3	0	0	1
ENSMUSG00000020380	463	562	516	518	543	573
ENSMUSG00000084419	0	1	4	2	1	4
ENSMUSG00000036117	1	3	1	0	1	3
ENSMUSG00000086595	0	0	0	0	0	0
ENSMUSG00000083986	0	0	1	0	1	0
ENSMUSG00000099153	0	0	0	0	0	0
ENSMUSG00000018899	97	79	113	102	78	75
ENSMUSG00000091191	11	13	13	15	12	13
ENSMUSG00000081769	18	16	22	25	14	13
ENSMUSG00000018900	156	140	114	184	158	165
ENSMUSG00000082271	0	0	0	0	0	0
ENSMUSG00000082380	0	0	0	0	0	0
ENSMUSG00000081098	0	0	0	0	0	0
ENSMUSG00000063652	13	18	22	15	17	21
ENSMUSG00000080768	1	0	1	1	2	2
ENSMUSG00000020334	54	51	66	75	47	62
ENSMUSG00000020388	75	59	66	106	86	78
ENSMUSG00000018906	182	176	186	196	164	197
ENSMUSG00000036045	4	1	8	10	14	0
ENSMUSG00000086209	0	0	0	0	0	0
ENSMUSG00000060068	0	0	0	0	0	1
ENSMUSG00000018916	0	0	0	0	0	0
ENSMUSG00000085585	0	0	1	1	0	0
ENSMUSG00000018914	0	0	0	0	0	0
ENSMUSG00000020333	3506	3676	3916	4568	3764	3694
ENSMUSG00000085888	12	36	20	21	15	15
ENSMUSG00000020332	0	0	1	0	0	0
ENSMUSG00000078151	0	1	1	1	0	0
ENSMUSG00000084212	0	0	0	0	0	0
ENSMUSG00000035992	1878	2021	2068	2596	2053	2157
ENSMUSG00000088437	1	1	1	2	0	3
ENSMUSG00000037533	1425	1584	1702	1854	1551	1740
ENSMUSG00000093341	1	4	0	0	2	1
ENSMUSG00000052298	2259	2566	2421	3076	2449	2484
ENSMUSG00000086039	16	24	15	13	21	24
ENSMUSG00000082503	3	4	3	2	4	3
ENSMUSG00000086789	0	0	0	0	0	0
ENSMUSG00000020268	193	206	212	228	205	212
ENSMUSG00000088231	0	0	0	0	0	0
ENSMUSG00000020267	1298	1198	1283	1694	1163	1206
ENSMUSG00000018339	56	57	45	71	61	64
ENSMUSG00000020400	265	323	293	348	300	306
ENSMUSG00000082180	4	0	4	0	0	0
ENSMUSG00000018340	1112	1030	1145	1359	1159	1189
ENSMUSG00000049588	5	0	3	0	3	4
ENSMUSG00000000594	720	827	904	960	943	785
ENSMUSG00000044751	170	201	208	406	291	296
ENSMUSG00000080738	0	0	0	0	0	0
ENSMUSG00000049491	0	0	0	0	0	0
ENSMUSG00000085531	0	1	0	0	0	0
ENSMUSG00000020264	6	1	3	2	5	7
ENSMUSG00000084980	0	0	0	0	0	0
ENSMUSG00000020261	1190	1173	1119	1147	971	1070
ENSMUSG00000055333	10	8	13	14	19	13
ENSMUSG00000018593	1880	1589	1799	1779	1556	1476
ENSMUSG00000018585	138	98	134	155	123	129
ENSMUSG00000081107	0	1	0	0	0	0
ENSMUSG00000018583	1261	1165	1261	1658	1169	1294
ENSMUSG00000065061	0	0	0	1	0	0
ENSMUSG00000087342	0	0	0	0	0	0
ENSMUSG00000098906	0	0	0	0	0	0
ENSMUSG00000000263	3	1	1	3	4	2
ENSMUSG00000086460	0	0	0	0	0	0
ENSMUSG00000083363	0	0	0	0	0	0
ENSMUSG00000086020	0	1	0	1	0	0
ENSMUSG00000037393	0	1	0	0	0	2
ENSMUSG00000084169	0	0	1	0	0	0
ENSMUSG00000065635	0	0	0	0	0	0
ENSMUSG00000081749	0	0	0	0	0	0
ENSMUSG00000088228	0	0	0	0	0	0
ENSMUSG00000020524	5605	5720	5516	6409	5501	5403
ENSMUSG00000082476	0	2	0	0	2	2
ENSMUSG00000020523	574	603	625	735	609	639
ENSMUSG00000020522	639	731	840	775	656	744
ENSMUSG00000086028	3	3	0	3	0	1
ENSMUSG00000085719	1	0	1	2	1	0
ENSMUSG00000020520	112	120	129	139	121	130
ENSMUSG00000086933	3	4	1	3	2	2
ENSMUSG00000077155	0	0	0	0	0	1
ENSMUSG00000065806	0	0	0	0	0	0
ENSMUSG00000087165	24	28	25	30	25	36
ENSMUSG00000020519	238	250	264	342	218	198
ENSMUSG00000037335	0	0	0	0	0	0
ENSMUSG00000084223	0	0	0	0	0	0
ENSMUSG00000083657	0	0	0	0	0	0
ENSMUSG00000089280	0	0	0	0	0	0
ENSMUSG00000086666	0	0	0	0	0	0
ENSMUSG00000037331	1590	1845	1593	1744	1782	1681
ENSMUSG00000086962	1	1	1	6	3	2
ENSMUSG00000081223	0	1	2	2	1	1
ENSMUSG00000020515	661	688	720	976	730	818
ENSMUSG00000037275	561	566	586	672	640	587
ENSMUSG00000087629	3	4	3	5	4	9
ENSMUSG00000020514	219	156	166	236	190	201
ENSMUSG00000082292	1	2	1	4	2	7
ENSMUSG00000078853	65	61	79	53	51	53
ENSMUSG00000069874	50	28	39	42	38	39
ENSMUSG00000069873	0	0	0	0	0	0
ENSMUSG00000037243	463	352	378	481	405	387
ENSMUSG00000049755	925	808	878	1138	820	905
ENSMUSG00000087347	38	36	38	41	40	49
ENSMUSG00000013646	767	689	715	911	750	708
ENSMUSG00000013643	0	0	0	0	0	0
ENSMUSG00000084384	149	113	116	129	122	143
ENSMUSG00000082181	0	0	0	0	0	0
ENSMUSG00000013653	0	0	0	0	0	0
ENSMUSG00000058287	0	0	0	0	0	0
ENSMUSG00000052642	0	0	0	0	0	0
ENSMUSG00000043314	0	0	0	0	0	0
ENSMUSG00000081287	0	0	0	0	0	0
ENSMUSG00000050813	0	0	0	0	0	0
ENSMUSG00000058807	0	0	0	0	0	0
ENSMUSG00000085342	73	71	68	101	65	94
ENSMUSG00000050818	0	0	0	0	0	0
ENSMUSG00000083501	0	0	0	0	0	0
ENSMUSG00000064252	0	0	0	0	0	0
ENSMUSG00000057654	0	0	0	0	0	0
ENSMUSG00000059279	0	0	0	0	0	0
ENSMUSG00000108156	0	0	0	0	0	0
ENSMUSG00000060765	0	0	0	0	0	0
ENSMUSG00000056564	0	1	1	0	0	0
ENSMUSG00000037145	0	0	0	0	1	1
ENSMUSG00000043880	0	0	0	0	0	0
ENSMUSG00000037124	0	0	0	2	1	1
ENSMUSG00000088222	0	0	0	0	0	0
ENSMUSG00000063549	0	0	0	0	0	0
ENSMUSG00000107711	0	1	0	0	0	0
ENSMUSG00000082495	0	0	0	0	0	0
ENSMUSG00000064044	0	0	0	0	0	0
ENSMUSG00000108265	0	0	0	0	0	0
ENSMUSG00000060030	1	1	0	3	1	0
ENSMUSG00000107677	1	2	2	9	2	6
ENSMUSG00000056959	0	0	0	0	1	0
ENSMUSG00000059504	0	0	0	0	0	0
ENSMUSG00000049154	12	5	6	13	12	11
ENSMUSG00000070438	0	0	0	0	0	0
ENSMUSG00000096806	0	0	0	0	0	0
ENSMUSG00000094805	0	0	0	0	0	0
ENSMUSG00000072915	486	494	526	652	539	583
ENSMUSG00000085744	0	0	0	0	1	0
ENSMUSG00000020491	155	202	179	223	166	214
ENSMUSG00000037001	260	200	270	302	231	257
ENSMUSG00000087654	0	0	0	0	0	0
ENSMUSG00000086063	0	0	1	0	0	0
ENSMUSG00000020490	0	0	0	0	0	0
ENSMUSG00000020496	4707	4284	4606	5367	4287	4125
ENSMUSG00000056895	261	259	215	281	220	204
ENSMUSG00000080712	44	32	37	59	48	42
ENSMUSG00000078851	122	181	192	197	149	221
ENSMUSG00000036964	81	105	100	131	110	112
ENSMUSG00000106175	0	0	0	0	0	0
ENSMUSG00000080152	6	11	6	12	8	13
ENSMUSG00000085379	48	39	52	69	48	61
ENSMUSG00000020455	339	332	385	466	415	398
ENSMUSG00000061462	90	128	157	138	160	203
ENSMUSG00000072902	1	3	4	6	3	4
ENSMUSG00000049287	91	79	90	98	66	91
ENSMUSG00000043448	127	106	135	144	87	102
ENSMUSG00000020444	626	595	670	858	713	681
ENSMUSG00000085882	66	53	56	70	58	51
ENSMUSG00000036860	280	240	269	334	243	299
ENSMUSG00000072898	0	0	0	0	0	1
ENSMUSG00000020441	84	101	90	97	100	83
ENSMUSG00000048076	3108	3101	3386	3783	3190	3056
ENSMUSG00000009900	1	0	1	3	1	1
ENSMUSG00000000126	150	188	143	237	244	237
ENSMUSG00000093572	0	0	0	0	0	0
ENSMUSG00000049291	0	1	0	1	1	0
ENSMUSG00000086910	0	0	0	0	1	0
ENSMUSG00000009894	4157	4380	4639	5539	4574	4341
ENSMUSG00000036819	704	736	738	834	726	750
ENSMUSG00000054519	264	220	198	308	216	256
ENSMUSG00000084145	52	49	67	71	60	53
ENSMUSG00000083234	0	0	0	0	0	0
ENSMUSG00000020472	166	134	161	192	130	167
ENSMUSG00000072893	448	381	449	511	443	464
ENSMUSG00000032691	6	6	3	12	5	5
ENSMUSG00000059610	0	0	0	0	0	0
ENSMUSG00000081262	0	0	0	0	0	0
ENSMUSG00000048919	0	0	0	0	0	1
ENSMUSG00000108457	0	0	0	0	0	0
ENSMUSG00000044061	0	0	0	0	0	0
ENSMUSG00000005417	7797	7940	7587	9932	8347	8219
ENSMUSG00000086330	19	15	6	18	21	10
ENSMUSG00000086536	40	32	33	33	42	41
ENSMUSG00000043648	10	14	13	14	10	17
ENSMUSG00000032633	659	616	702	779	612	628
ENSMUSG00000087249	9	5	11	11	7	10
ENSMUSG00000088950	0	0	0	0	0	0
ENSMUSG00000019373	665	643	666	967	671	728
ENSMUSG00000032615	346	319	299	410	323	311
ENSMUSG00000084766	0	0	1	0	0	1
ENSMUSG00000085551	0	0	0	0	0	0
ENSMUSG00000085260	12	5	13	12	8	9
ENSMUSG00000061650	353	394	419	436	355	359
ENSMUSG00000049892	71	59	47	58	45	31
ENSMUSG00000000301	28	29	27	37	37	38
ENSMUSG00000098502	0	0	0	0	0	0
ENSMUSG00000062115	1203	1332	1200	1280	1325	1178
ENSMUSG00000051008	20	36	30	26	19	35
ENSMUSG00000020538	635	509	663	652	543	516
ENSMUSG00000098547	1	1	1	3	1	4
ENSMUSG00000099259	0	0	0	0	0	0
ENSMUSG00000000538	4781	4446	4795	5539	4702	4817
ENSMUSG00000085132	0	0	0	0	1	0
ENSMUSG00000098349	1	0	3	2	0	1
ENSMUSG00000082148	17	12	16	16	16	23
ENSMUSG00000056598	142	183	184	258	228	246
ENSMUSG00000042709	321	291	350	384	313	309
ENSMUSG00000018415	1086	1140	1165	1553	1215	1284
ENSMUSG00000083412	0	1	1	0	2	3
ENSMUSG00000084249	1	2	2	0	1	2
ENSMUSG00000020537	765	725	787	1047	823	785
ENSMUSG00000042678	3	4	11	8	10	4
ENSMUSG00000042650	1181	1238	1227	1406	1252	1297
